	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S7	S70	S72	S8	S9
ASV_1010	0	10	5	12	0	1	0	0	0	0	0	0	14	1	37	32	61	13	4	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	26	17	8	0	0	6	0	0	0	0	0	0	0	0	0	0	15	18	17	0	0	0	0	0	0	0	29	0	0	13	18
ASV_1011	0	0	0	0	0	0	0	2	0	0	2	12	2	4	0	0	0	0	0	1	6	15	0	9	0	0	13	9	10	0	0	0	9	3	9	10	47	36	25	40	41	62	2	0	6	0	4	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1012	34	16	4	21	9	15	7	1	7	6	0	28	0	0	0	3	0	29	28	37	5	3	21	0	0	0	0	0	0	1	0	0	15	18	9	18	5	6	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0
ASV_1013	0	0	0	1	0	0	0	0	0	0	16	0	27	25	19	24	41	0	0	0	0	0	0	0	0	0	11	6	10	12	27	24	2	2	0	0	4	0	0	0	3	0	2	0	4	2	29	33	22	2	3	0	14	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1014	0	0	0	0	0	0	0	0	0	0	125	0	146	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_1015	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	118	104	1	0	0	7	19	16	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	157	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	118	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1018	0	0	0	0	0	0	0	0	0	0	15	0	12	25	16	6	4	0	0	0	0	0	0	0	0	0	16	21	1	3	4	11	0	0	0	0	0	0	0	0	0	0	2	0	0	0	68	89	76	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1019	0	0	0	4	0	0	0	0	0	0	18	1	34	16	19	33	45	0	0	0	0	2	0	0	0	0	35	44	41	12	15	14	1	2	1	2	4	4	8	0	0	1	10	0	5	5	0	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	5	1	0	0	0	0	0	0	2	74	54	44	75	58	55	0	0	0	1	0	0	0	0	0	1	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1021	0	0	0	0	1	0	0	0	4	0	1	0	4	2	46	45	81	0	0	0	0	0	0	0	0	0	7	21	7	0	0	0	4	0	6	6	2	0	1	0	0	4	6	0	0	0	0	0	0	0	0	0	55	36	39	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_1022	0	0	0	0	0	0	0	0	0	0	64	0	79	59	39	50	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1023	0	0	2	0	0	0	0	0	0	0	3	0	8	10	32	29	55	0	0	0	4	3	0	5	0	0	35	17	25	0	5	9	0	5	1	0	18	17	13	9	3	0	2	0	21	0	3	3	7	2	0	1	8	4	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1024	0	0	0	0	0	0	0	7	7	4	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	0	0	0	0	26	0	0	9	3	7	0	0	0	0	0	29	0	0	0	0	0	0	0	2	0	0	33	70	51	85	0	0	0	0	0	0	0	18	0	0	6	17
ASV_1025	0	0	0	0	0	0	0	0	1	0	7	0	7	23	1	3	3	0	0	1	4	7	0	1	0	0	6	9	8	21	47	52	4	4	4	4	20	9	7	28	27	49	1	0	0	1	0	0	0	0	0	1	0	0	0	1	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	112	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1027	106	0	0	0	1	0	0	1	0	0	1	134	0	0	2	1	0	0	0	2	0	0	81	0	8	0	3	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	3	8
ASV_1028	0	0	8	6	2	3	1	14	5	11	0	0	0	0	0	0	0	14	8	8	11	27	4	1	0	0	0	0	0	0	0	0	74	7	56	52	13	9	12	0	0	0	0	0	11	3	0	0	0	2	2	1	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_1029	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	6	3	3	18	41	0	24	0	0	4	2	1	0	0	1	2	7	2	1	85	59	53	4	13	16	0	0	7	1	0	0	0	0	0	3	0	1	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1030	3	0	0	1	21	12	18	10	0	8	0	3	0	0	0	0	0	11	5	6	52	56	5	33	0	0	0	0	0	0	2	5	27	4	16	17	12	2	10	1	1	2	2	0	0	2	1	2	0	0	0	4	0	0	0	8	0	0	0	0	0	1	0	0	0	0	5	0	0	2	8
ASV_1031	0	24	32	64	7	18	14	3	8	1	0	0	0	0	0	0	0	38	33	20	3	2	1	0	0	0	0	0	0	1	1	6	0	3	0	0	10	1	3	0	0	0	1	0	0	5	5	0	1	3	2	10	0	0	0	3	11	22	17	0	0	0	0	0	0	0	5	0	0	0	0
ASV_1032	0	0	1	14	0	0	0	0	1	6	0	0	0	0	0	0	1	22	18	34	33	23	4	24	0	0	0	1	0	1	5	1	19	17	24	37	11	6	0	3	1	0	0	0	11	0	0	5	4	0	0	0	0	0	0	31	0	3	0	0	0	0	0	0	0	0	9	0	0	2	6
ASV_1033	0	4	5	13	0	0	0	0	0	0	3	0	6	1	13	6	4	0	0	0	0	0	0	2	0	0	3	9	5	0	0	0	0	0	3	2	135	70	74	1	7	5	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1034	0	0	0	0	3	2	1	35	17	36	0	0	0	0	0	0	0	10	4	15	12	24	0	25	0	0	2	0	0	0	0	0	51	12	43	48	0	1	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	132	0	108	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_1036	3	2	1	0	0	0	0	7	0	1	10	1	9	9	24	49	28	2	3	3	0	7	3	2	0	0	2	11	6	1	9	7	0	3	1	4	29	15	23	5	6	5	5	0	11	0	7	5	4	0	0	6	11	0	4	6	1	1	2	0	0	0	0	0	0	0	15	0	0	4	2
ASV_1037	0	0	0	0	57	67	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0
ASV_1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	151	92	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
