#ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1464	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Tintinnidae	Eutintinnus	Eutintinnus fraknoi
ASV_1465	Eukaryota	unknown	unknown	Choanoflagellata	Salpingoecidae	Bicosta	Bicosta minor
ASV_1466	Eukaryota	Ciliophora	Spirotrichea	unassigned	unassigned	unassigned	unassigned
ASV_1467	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	unassigned
ASV_1468	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1469	Eukaryota	unknown	Dinophyceae	Syndiniales	unassigned	unassigned	unassigned
ASV_1470	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1471	Eukaryota	unknown	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	unassigned
ASV_1472	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1473	Eukaryota	Mollusca	Bivalvia	Veneroida	Mactridae	unassigned	unassigned
ASV_1474	Eukaryota	unknown	Dinophyceae	Dinophysiales	Dinophysiaceae	Phalacroma	Phalacroma oxytoxoides
ASV_1475	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_1476	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_1477	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	unassigned	unassigned
ASV_1478	Eukaryota	unknown	unknown	Diplonemea	Hemistasiidae	Hemistasia	Hemistasia phaeocysticola
ASV_1479	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_1480	Eukaryota	Cercozoa	Thecofilosea	unknown	unknown	Mataza	Mataza hastifera
ASV_1481	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1482	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1483	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1484	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium conicum
ASV_1485	Eukaryota	unknown	Dinophyceae	Peridiniales	Kryptoperidiniaceae	Durinskia	Durinskia cf. baltica HG171
ASV_1486	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1487	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	unassigned	unassigned
ASV_1488	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1489	Eukaryota	Ciliophora	Litostomatea	Haptorida	Didiniidae	Cyclotrichium	Cyclotrichium cyclokaryon
ASV_1490	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1491	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1492	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	unassigned	unassigned
ASV_1493	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium claudicans
ASV_1494	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium claudicans
ASV_1495	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1496	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_1497	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1498	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1499	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1500	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_1501	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax	Amylax triacantha
ASV_1502	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Paragymnodinium	Paragymnodinium shiwhaense
ASV_1503	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1504	Eukaryota	Chordata	Actinopteri	unassigned	unassigned	unassigned	unassigned
ASV_1505	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1506	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Tintinnidae	Eutintinnus	Eutintinnus pectinis
ASV_1507	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	Strombidinopsis sinicum
ASV_1508	Eukaryota	Chlorophyta	unknown	Pyramimonadales	unknown	Pyramimonas	Pyramimonas gelidicola
ASV_1509	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1510	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1511	Eukaryota	Cercozoa	unknown	Cercomonadida	unknown	Metopion	Metopion fluens
ASV_1512	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Haslea	Haslea spicula
ASV_1513	Eukaryota	unknown	Oomycetes	Pythiales	Pythiaceae	Pythium	unassigned
ASV_1514	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1515	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1516	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	Cryothecomonas aestivalis
ASV_1517	Eukaryota	unknown	Dinophyceae	Syndiniales	unassigned	unassigned	unassigned
ASV_1518	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1519	Eukaryota	unknown	Haptophyta	unassigned	unassigned	unassigned	unassigned
ASV_1520	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1521	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1522	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1523	Eukaryota	unknown	Pelagophyceae	unknown	unknown	unknown	Coccoid pelagophyte CCMP1395
ASV_1524	Eukaryota	Cryptophyta	unknown	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila
ASV_1525	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	unassigned
ASV_1526	Eukaryota	unknown	Oomycetes	Myzocytiopsidales	Myzocytiopsidaceae	Myzocytiopsis	Myzocytiopsis humicola
